Date,Open,High,Low,Close,Adj Close,Volume
2022-11-28,0.671191,0.672400,0.666630,0.671191,0.671191,0
2022-11-29,0.665199,0.674860,0.664090,0.665199,0.665199,0
2022-11-30,0.668409,0.674018,0.667570,0.668409,0.668409,0
2022-12-01,0.679960,0.684100,0.679170,0.679960,0.679960,0
2022-12-02,0.681102,0.683490,0.674690,0.681102,0.681102,0
2022-12-05,0.681301,0.685050,0.671000,0.681301,0.681301,0
2022-12-06,0.670781,0.674370,0.669050,0.670781,0.670781,0
2022-12-07,0.669882,0.673700,0.666950,0.669882,0.669882,0
2022-12-08,0.672700,0.678104,0.670040,0.672700,0.672700,0
2022-12-09,0.677650,0.681500,0.675040,0.677650,0.677650,0
2022-12-12,0.678141,0.679330,0.673011,0.678141,0.678141,0
2022-12-13,0.675400,0.689300,0.674118,0.675400,0.675400,0
2022-12-14,0.684230,0.687460,0.682200,0.684230,0.684230,0
2022-12-15,0.685780,0.687010,0.669851,0.685780,0.685780,0
2022-12-16,0.670592,0.673700,0.667670,0.670592,0.670592,0
2022-12-19,0.668749,0.673500,0.668650,0.668749,0.668749,0
2022-12-20,0.670781,0.673990,0.663000,0.670781,0.670781,0
2022-12-21,0.668850,0.672760,0.665710,0.668850,0.668850,0
2022-12-22,0.671682,0.676800,0.667000,0.671682,0.671682,0
2022-12-23,0.667800,0.671321,0.666138,0.667800,0.667800,0
2022-12-26,0.671249,0.677570,0.668181,0.671249,0.671249,0
2022-12-27,0.674459,0.678000,0.672580,0.674459,0.674459,0
2022-12-28,0.672993,0.680100,0.672011,0.672993,0.672993,0
2022-12-29,0.674710,0.677900,0.671130,0.674710,0.674710,0
2022-12-30,0.676600,0.680840,0.675690,0.676600,0.676600,0
2023-01-02,0.682310,0.684340,0.679390,0.682310,0.682310,0
2023-01-03,0.680560,0.683620,0.668919,0.680560,0.680560,0
2023-01-04,0.672800,0.689130,0.672558,0.672800,0.672800,0
2023-01-05,0.682911,0.684603,0.673680,0.682911,0.682911,0
2023-01-06,0.675570,0.687000,0.672260,0.675570,0.675570,0
2023-01-09,0.689398,0.695120,0.688558,0.689398,0.689398,0
2023-01-10,0.690970,0.692800,0.686050,0.690970,0.690970,0
2023-01-11,0.689500,0.692521,0.687450,0.689500,0.689500,0
2023-01-12,0.691100,0.698180,0.688870,0.691100,0.691100,0
2023-01-13,0.696782,0.699400,0.691692,0.696782,0.696782,0
2023-01-16,0.697350,0.702000,0.694260,0.697350,0.697350,0
2023-01-17,0.696640,0.699340,0.693130,0.696640,0.696640,0
2023-01-18,0.698841,0.705990,0.697410,0.698841,0.698841,0
2023-01-19,0.694400,0.695000,0.687229,0.694400,0.694400,0
2023-01-20,0.691400,0.696442,0.690670,0.691400,0.691400,0
2023-01-23,0.698402,0.703938,0.696290,0.698270,0.698270,0
2023-01-24,0.702928,0.705600,0.699820,0.702928,0.702928,0
2023-01-25,0.704672,0.712210,0.703918,0.704672,0.704672,0
2023-01-26,0.710820,0.714010,0.708200,0.710820,0.710820,0
2023-01-27,0.711390,0.713114,0.708491,0.711390,0.711390,0
2023-01-30,0.710798,0.712099,0.706720,0.710798,0.710798,0
2023-01-31,0.705810,0.706309,0.698550,0.705810,0.705810,0
2023-02-01,0.705140,0.709200,0.703720,0.705140,0.705140,0
2023-02-02,0.714500,0.715610,0.707190,0.714500,0.714500,0
2023-02-03,0.707469,0.707400,0.693342,0.707469,0.707469,0
2023-02-06,0.692080,0.694879,0.685660,0.692080,0.692080,0
2023-02-07,0.688780,0.695060,0.688710,0.688780,0.688780,0
2023-02-08,0.696460,0.699510,0.692740,0.696460,0.696460,0
2023-02-09,0.693000,0.701061,0.692280,0.693000,0.693000,0
2023-02-10,0.693938,0.695990,0.691228,0.693938,0.693938,0
2023-02-13,0.691348,0.696770,0.689180,0.691348,0.691348,0
2023-02-14,0.697000,0.702701,0.692340,0.697000,0.697000,0
2023-02-15,0.698758,0.698519,0.686570,0.698758,0.698758,0
2023-02-16,0.690690,0.693520,0.684610,0.690690,0.690690,0
2023-02-17,0.686240,0.687380,0.681231,0.686240,0.686240,0
2023-02-20,0.686941,0.692200,0.686389,0.686941,0.686941,0
2023-02-21,0.690900,0.691812,0.685880,0.690900,0.690900,0
2023-02-22,0.686190,0.686422,0.680900,0.686190,0.686190,0
2023-02-23,0.681292,0.684170,0.678520,0.681292,0.681292,0
2023-02-24,0.681013,0.682594,0.671970,0.681013,0.681013,0
2023-02-27,0.673568,0.674400,0.669880,0.673568,0.673568,0
2023-02-28,0.674300,0.676000,0.670610,0.674300,0.674300,0
2023-03-01,0.673079,0.678398,0.669590,0.673079,0.673079,0
2023-03-02,0.675980,0.676590,0.670830,0.675980,0.675980,0
2023-03-03,0.673500,0.676590,0.672988,0.673500,0.673500,0
2023-03-06,0.675461,0.677100,0.671720,0.675461,0.675461,0
2023-03-07,0.673310,0.674900,0.659560,0.673310,0.673310,0
2023-03-08,0.659100,0.662860,0.656909,0.659100,0.659100,0
2023-03-09,0.659400,0.663508,0.657748,0.659400,0.659400,0
2023-03-10,0.659100,0.663861,0.656680,0.659100,0.659100,0
2023-03-13,0.663420,0.671601,0.660271,0.663420,0.663420,0
2023-03-14,0.665920,0.669470,0.663330,0.665920,0.665920,0
2023-03-15,0.668910,0.671186,0.660120,0.668910,0.668910,0
2023-03-16,0.661830,0.666529,0.661550,0.661830,0.661830,0
2023-03-17,0.669837,0.669837,0.669837,0.669837,0.669837,0
